# https://raw.githubusercontent.com/bbfw9997/WWM2/master/fragen.txt
Wie heißt Aachen samt Stadttitel?;Sankt Aachen;Freie Stadt Aachen;Bad Aachen;Umwelthauptstadt Aachen;Bad Aachen;1
Wenn das Wetter gut ist, wird der Bauer bestimmt den Eber, das Ferkel und ...?;einen draufmachen;die Nacht durchzechen;die Sau rauslassen;auf die Kacke hauen;die Sau rauslassen;1
Welche Gegenstände können in den Geschichten des Orient fliegen?;Häuser;Münzen;Tische;Teppiche;Teppiche;1
Welches Tier kann seine Hautfarbe an seine Umgebung anpassen?;Ringelnatter;Chamäleon;Waldkautz;Ameisenbär;Chamäleon;1
Welche Figur wurde von Karl May erschaffen?;Asterix;Winnetou;Pluto;Pater Brown;Winnetou;1
Wovor fürchtet sich der Autobesitzer?;Ventiltrinker;Kolbenfresser;Reifenmümmler;Schaltungsmampfer;Kolbenfresser;2
Wie nennt man die Mitte eines Tornados?;Nase;Mund;Auge;Ohr;Auge;2
Was sägen Max und Moritz voller Tücke an, um dem Schneider Böck einen Streich zu spielen?;Stuhlbein;Leiter;Brücke;Krückstock;Brücke;2
Wen brauchen viele Parasiten zum Überleben?;Kneipier;Wirt;Oberkellner;Barkeeper;Wirt;2
Wie heißt eine religiöse Stätte des Judentums in Jerusalem?;Trauermauer;Klagemauer;Tempelmauer;Schlossmauer;Klagemauer;2
Ein berühmter Hurricane der in New Orleans wütete heißt...?;...Melissa;...Catrina;...Josephine;...Mariah;...Catrina;3
Was ist Red Snapper?;Fisch;Hunderasse;Cocktail;Film;Fisch;3
Welche Sprache sprach Jesus?;Hebräisch;Griechisch;Assyrisch;Aramäisch;Aramäisch;3
Was ist Gondwana?;Ein Mädchenname;Ein Land;Eine Insel;Ein Urkontinent;Ein Urkontinent;3
Wer gilt als Vater der Medizin?;Hippokrates;Rene Lennec;Thomas Dydenhams;Santorio;Hippokrates;3
